
Session altered.

=== TABLES ===
TABLE_NAME|COMMENTS
BL_BATCH_LOG|
BL_BILLING|
BL_OVERDUE|
BL_PAYMENT|
CM_AUTH|
CM_CODE|
CM_CODE_GROUP|
CM_MENU|
CM_NOTIFICATION|
CM_ROLE|
CM_ROLE_AUTH|
CM_USER|
CM_USER_AUTH|
CT_CONTRACT|
CT_CUSTOMER|
CT_ENGINEER|
CT_EQUIPMENT|
CT_PRODUCT|
CT_VISIT|

=== COLUMNS ===
TABLE_NAME|COLUMN_NAME|DATA_TYPE|DATA_LENGTH|NULLABLE
CM_USER_AUTH|AUTH_CODE|VARCHAR2|50|N
CM_USER_AUTH|GRANT_TYPE|VARCHAR2|10|N
CM_USER_AUTH|WRK_RMK|VARCHAR2|100|Y
CM_USER_AUTH|FIRS_REG_PGM_ID|VARCHAR2|50|N
CM_USER_AUTH|FIRS_REG_DTS|TIMESTAMP(0)|7|N
CM_USER_AUTH|FIRS_REG_USER_ID|VARCHAR2|20|N
CM_USER_AUTH|FIRS_REG_IP|VARCHAR2|50|N
CM_USER_AUTH|FINA_REG_PGM_ID|VARCHAR2|50|N
CM_USER_AUTH|FINA_REG_DTS|TIMESTAMP(0)|7|N
CM_USER_AUTH|FINA_REG_USER_ID|VARCHAR2|20|N
CM_USER_AUTH|FINA_REG_IP|VARCHAR2|50|N
CT_CONTRACT|CONTRACT_ID|NUMBER|22|N
CT_CONTRACT|CONTRACT_NO|VARCHAR2|50|N
CT_CONTRACT|CUSTOMER_ID|NUMBER|22|N
CT_CONTRACT|PRODUCT_ID|NUMBER|22|N
CT_CONTRACT|MONTHLY_FEE|NUMBER|22|N
CT_CONTRACT|START_DATE|DATE|7|N
CT_CONTRACT|END_DATE|DATE|7|N
CT_CONTRACT|INSTALL_ADDRESS|VARCHAR2|500|N
CT_CONTRACT|CONTRACT_STATUS|VARCHAR2|20|N
CT_CONTRACT|SUSPENDED_AT|TIMESTAMP(0)|7|Y
CT_CONTRACT|SUSPEND_REASON|VARCHAR2|1000|Y
CT_CONTRACT|RESUMED_AT|TIMESTAMP(0)|7|Y
CT_CONTRACT|TERMINATED_AT|TIMESTAMP(0)|7|Y
CT_CONTRACT|TERMINATE_REASON|VARCHAR2|1000|Y
CT_CONTRACT|WRK_RMK|VARCHAR2|100|Y
CT_CONTRACT|FIRS_REG_PGM_ID|VARCHAR2|50|N
